Category,Crm Cd,Description
PERSONAL THEFT,354,THEFT OF IDENTITY
SEX OFFENSES,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
SEX OFFENSES,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
OTHER THEFT,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
SEX OFFENSES,813,CHILD ANNOYING (17YRS & UNDER)
SEX OFFENSES,762,LEWD CONDUCT
FRAUD,662,"BUNCO, GRAND THEFT"
SEX OFFENSES,860,BATTERY WITH SEXUAL CONTACT
CYBER CRIME,661,UNAUTHORIZED COMPUTER ACCESS
SEX OFFENSES,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
ORDER VIOLATIONS,901,VIOLATION OF RESTRAINING ORDER
VANDALISM,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
OTHER,946,OTHER MISCELLANEOUS CRIME
FORGERY/FRAUD,649,DOCUMENT FORGERY / STOLEN FELONY
SEX OFFENSES,845,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE
VANDALISM,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
FORGERY/FRAUD,653,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
OTHER,940,EXTORTION
ARSON,648,ARSON
DISORDERLY CONDUCT,886,DISTURBING THE PEACE
FRAUD,666,"BUNCO, ATTEMPT"
HUMAN TRAFFICKING,921,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE
SEX OFFENSES,805,PIMPING
SEX OFFENSES,932,PEEPING TOM
ORDER VIOLATIONS,900,VIOLATION OF COURT ORDER
ORDER VIOLATIONS,903,CONTEMPT OF COURT
FALSE REPORT,439,FALSE POLICE REPORT
OTHER,954,CONTRIBUTING
OTHER,434,FALSE IMPRISONMENT
FORGERY/FRAUD,654,"CREDIT CARDS, FRAUD USE ($950 & UNDER"
KIDNAPPING,922,CHILD STEALING
SEX OFFENSES,760,LEWD/LASCIVIOUS ACTS WITH CHILD
OTHER THEFT,670,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
SEX OFFENSES,850,INDECENT EXPOSURE
CHILD NEGLECT,237,CHILD NEGLECT (SEE 300 W.I.C.)
TRESPASSING,888,TRESPASSING
WEAPONS,753,DISCHARGE FIREARMS/SHOTS FIRED
HUMAN TRAFFICKING,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS
SEX OFFENSES,806,PANDERING
WEAPONS,906,FIREARMS RESTRAINING ORDER (FIREARMS RO)
MVT (GTA),522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)"
TRAFFIC,890,FAILURE TO YIELD
OTHER,755,BOMB SCARE
FRAUD,664,"BUNCO, PETTY THEFT"
THEFT,951,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER"
KIDNAPPING,920,KIDNAPPING - GRAND ATTEMPT
ORDER VIOLATIONS,902,VIOLATION OF TEMPORARY RESTRAINING ORDER
FORGERY/FRAUD,651,DOCUMENT WORTHLESS ($200.01 & OVER)
KIDNAPPING,910,KIDNAPPING
SEX OFFENSES,814,CHILD PORNOGRAPHY
WEAPONS,756,WEAPONS POSSESSION/BOMBING
WEAPONS,931,"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)"
TRAFFIC,438,RECKLESS DRIVING
FORGERY/FRAUD,660,COUNTERFEIT
THEFT,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01"
OTHER,943,CRUELTY TO ANIMALS
OTHER,949,ILLEGAL DUMPING
OTHER,933,PROWLER
DRUG OFFENSES,865,"DRUGS, TO A MINOR"
FORGERY/FRAUD,652,DOCUMENT WORTHLESS ($200 & UNDER)
OTHER THEFT,446,PETTY THEFT - AUTO REPAIR
OTHER,944,CONSPIRACY
OTHER THEFT,349,GRAND THEFT / AUTO REPAIR
OTHER,942,BRIBERY
OTHER THEFT,347,GRAND THEFT / INSURANCE FRAUD
CHILD NEGLECT,870,CHILD ABANDONMENT
OTHER,880,DISRUPT SCHOOL
OTHER,924,TELEPHONE PROPERTY - DAMAGE
SEX OFFENSES,840,"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM"
OTHER,948,BIGAMY
DISORDERLY CONDUCT,884,FAILURE TO DISPERSE
WEAPONS,904,FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO)
SEX OFFENSES,830,INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES)
OTHER,432,BLOCKING DOOR INDUCTION CENTER
DISORDERLY CONDUCT,882,INCITING A RIOT
